名稱:             描述:
m4rfym__ac        "Run For Your Money (Barcrest) (MPU4) (set 40)"
m4rfym__ad        "Run For Your Money (Barcrest) (MPU4) (set 41)"
m4rfym__ae        "Run For Your Money (Barcrest) (MPU4) (set 42)"
m4rfym__af        "Run For Your Money (Barcrest) (MPU4) (set 43)"
m4rfym__ag        "Run For Your Money (Barcrest) (MPU4) (set 44)"
m4rfym__ah        "Run For Your Money (Barcrest) (MPU4) (set 45)"
m4rfym__ai        "Run For Your Money (Barcrest) (MPU4) (set 46)"
m4rfym__aj        "Run For Your Money (Barcrest) (MPU4) (set 47)"
m4rfym__ak        "Run For Your Money (Barcrest) (MPU4) (set 48)"
m4rfym__al        "Run For Your Money (Barcrest) (MPU4) (set 49)"
m4rfym__am        "Run For Your Money (Barcrest) (MPU4) (set 50)"
m4rfym__an        "Run For Your Money (Barcrest) (MPU4) (set 51)"
m4rfym__ao        "Run For Your Money (Barcrest) (MPU4) (set 52)"
m4rfym__ap        "Run For Your Money (Barcrest) (MPU4) (set 53)"
m4rfym__aq        "Run For Your Money (Barcrest) (MPU4) (set 54)"
m4rfym__ar        "Run For Your Money (Barcrest) (MPU4) (set 55)"
m4rfym__as        "Run For Your Money (Barcrest) (MPU4) (set 56)"
m4rfym__at        "Run For Your Money (Barcrest) (MPU4) (set 57)"
m4rfym__au        "Run For Your Money (Barcrest) (MPU4) (set 58)"
m4rfym__av        "Run For Your Money (Barcrest) (MPU4) (set 59)"
m4rfym__aw        "Run For Your Money (Barcrest) (MPU4) (set 60)"
m4rfym__ax        "Run For Your Money (Barcrest) (MPU4) (set 61)"
m4rfym__ay        "Run For Your Money (Barcrest) (MPU4) (set 62)"
m4rfym__az        "Run For Your Money (Barcrest) (MPU4) (set 63)"
m4rfym__b         "Run For Your Money (Barcrest) (MPU4) (set 3)"
m4rfym__c         "Run For Your Money (Barcrest) (MPU4) (set 4)"
m4rfym__d         "Run For Your Money (Barcrest) (MPU4) (set 5)"
m4rfym__e         "Run For Your Money (Barcrest) (MPU4) (set 6)"
m4rfym__f         "Run For Your Money (Barcrest) (MPU4) (set 7)"
m4rfym__g         "Run For Your Money (Barcrest) (MPU4) (set 8)"
m4rfym__h         "Run For Your Money (Barcrest) (MPU4) (set 9)"
m4rfym__i         "Run For Your Money (Barcrest) (MPU4) (set 10)"
m4rfym__j         "Run For Your Money (Barcrest) (MPU4) (set 11)"
m4rfym__k         "Run For Your Money (Barcrest) (MPU4) (set 12)"
m4rfym__l         "Run For Your Money (Barcrest) (MPU4) (set 13)"
m4rfym__m         "Run For Your Money (Barcrest) (MPU4) (set 14)"
m4rfym__n         "Run For Your Money (Barcrest) (MPU4) (set 15)"
m4rfym__o         "Run For Your Money (Barcrest) (MPU4) (set 16)"
m4rfym__p         "Run For Your Money (Barcrest) (MPU4) (set 17)"
m4rfym__q         "Run For Your Money (Barcrest) (MPU4) (set 18)"
m4rfym__r         "Run For Your Money (Barcrest) (MPU4) (set 19)"
m4rfym__s         "Run For Your Money (Barcrest) (MPU4) (set 20)"
m4rfym__t         "Run For Your Money (Barcrest) (MPU4) (set 21)"
m4rfym__u         "Run For Your Money (Barcrest) (MPU4) (set 22)"
m4rfym__v         "Run For Your Money (Barcrest) (MPU4) (set 23)"
m4rfym__w         "Run For Your Money (Barcrest) (MPU4) (set 24)"
m4rfym__x         "Run For Your Money (Barcrest) (MPU4) (set 25)"
m4rfym__y         "Run For Your Money (Barcrest) (MPU4) (set 26)"
m4rfym__z         "Run For Your Money (Barcrest) (MPU4) (set 27)"
m4rhfev           "Red Hot Fever (Bwb) (MPU4) (set 1)"
m4rhfev__a        "Red Hot Fever (Bwb) (MPU4) (set 2)"
m4rhfev__b        "Red Hot Fever (Bwb) (MPU4) (set 3)"
m4rhfev__c        "Red Hot Fever (Bwb) (MPU4) (set 4)"
m4rhfev__d        "Red Hot Fever (Bwb) (MPU4) (set 5)"
m4rhfevc          "Red Hot Fever (Concept Games Ltd) (MPU4) (set 1)"
m4rhfevc__a       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 2)"
m4rhfevc__b       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 3)"
m4rhfevc__c       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 4)"
m4rhfevc__d       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 5)"
m4rhfevc__e       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 6)"
m4rhfevc__f       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 7)"
m4rhfevc__g       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 8)"
m4rhfevc__h       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 9)"
m4rhfevc__i       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 10)"
m4rhfevc__j       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 11)"
m4rhfevc__k       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 12)"
m4rhfevc__l       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 13)"
m4rhfevc__m       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 14)"
m4rhfevc__n       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 15)"
m4rhfevc__o       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 16)"
m4rhfevc__p       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 17)"
m4rhfevc__q       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 18)"
m4rhfevc__r       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 19)"
m4rhfevc__s       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 20)"
m4rhfevc__t       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 21)"
m4rhfevc__u       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 22)"
m4rhfevc__v       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 23)"
m4rhfevc__w       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 24)"
m4rhfevc__x       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 25)"
m4rhfevc__y       "Red Hot Fever (Concept Games Ltd) (MPU4) (set 26)"
m4rhnote          "Red Hot Notes (Qps) (MPU4) (set 1)"
m4rhnote__a       "Red Hot Notes (Qps) (MPU4) (set 2)"
m4rhnote__b       "Red Hot Notes (Qps) (MPU4) (set 3)"
m4rhnote__c       "Red Hot Notes (Qps) (MPU4) (set 4)"
m4rhnote__d       "Red Hot Notes (Qps) (MPU4) (set 5)"
m4rhnote__e       "Red Hot Notes (Qps) (MPU4) (set 6)"
m4rhnote__f       "Red Hot Notes (Qps) (MPU4) (set 7)"
m4rhnote__g       "Red Hot Notes (Qps) (MPU4) (set 8)"
m4rhnote__h       "Red Hot Notes (Qps) (MPU4) (set 9)"
m4rhnote__i       "Red Hot Notes (Qps) (MPU4) (set 10)"
m4rhnote__j       "Red Hot Notes (Qps) (MPU4) (set 11)"
m4rhnote__k       "Red Hot Notes (Qps) (MPU4) (set 12)"
m4rhnote__l       "Red Hot Notes (Qps) (MPU4) (set 13)"
m4rhnote__m       "Red Hot Notes (Qps) (MPU4) (set 14)"
m4rhnote__n       "Red Hot Notes (Qps) (MPU4) (set 15)"
m4rhnote__o       "Red Hot Notes (Qps) (MPU4) (set 16)"
m4rhnote__p       "Red Hot Notes (Qps) (MPU4) (set 17)"
m4rhnote__q       "Red Hot Notes (Qps) (MPU4) (set 18)"
m4rhnote__r       "Red Hot Notes (Qps) (MPU4) (set 19)"
m4rhnote__s       "Red Hot Notes (Qps) (MPU4) (set 20)"
m4rhnote__t       "Red Hot Notes (Qps) (MPU4) (set 21)"
m4rhnote__u       "Red Hot Notes (Qps) (MPU4) (set 22)"
m4rhnote__v       "Red Hot Notes (Qps) (MPU4) (set 23)"
m4rhnote__w       "Red Hot Notes (Qps) (MPU4) (set 24)"
m4rhnote__x       "Red Hot Notes (Qps) (MPU4) (set 25)"
m4rhnote__y       "Red Hot Notes (Qps) (MPU4) (set 26)"
m4rhog            "Road Hog (Barcrest) (MPU4) (RR6 1.2)"
m4rhog2           "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 1)"
m4rhog2__a        "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 2)"
m4rhog2__b        "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 3)"
m4rhog2__c        "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 4)"
m4rhog2__d        "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 5)"
m4rhog2__e        "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 6)"
m4rhog2__f        "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 7)"
m4rhog2__g        "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 8)"
m4rhog2__h        "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 9)"
m4rhog2__i        "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 10)"
m4rhog2__j        "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 11)"
m4rhog2__k        "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 12)"
m4rhog2__l        "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 13)"
m4rhog2__m        "Road Hog 2 - I'm Back (Barcrest) (MPU4) (set 14)"
m4rhog_h1         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 2.0, hack?, set 1)"
m4rhog_h10        "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 1.0, hack?, set 3)"
m4rhog_h11        "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 1.0, hack?, set 4)"
m4rhog_h12        "Road Hog (Barcrest) (MPU4) (RR6 1.2?, hack?)"
m4rhog_h13        "Road Hog (Barcrest) (MPU4) (RR6 1.2, hack?)"
m4rhog_h14        "Road Hog (Barcrest) (MPU4) (RR6 1.2C, hack?, set 1)"
m4rhog_h15        "Road Hog (Barcrest) (MPU4) (RR6 1.2C, hack?, set 2)"
m4rhog_h2         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 2.0, hack?, set 2)"
m4rhog_h3         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 2.0, hack?, set 3)"
m4rhog_h4         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 2.0, hack?, set 4)"
m4rhog_h5         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 2.0, hack?, set 5)"
m4rhog_h6         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 2.0, hack?, set 6)"
m4rhog_h7         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 2.0, hack?, set 7)"
m4rhog_h8         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 1.0, hack?, set 1)"
m4rhog_h9         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 1.0, hack?, set 2)"
m4rhog_roc        "Road Hog (Bwb / Barcrest) (MPU4) (ROC 2.0, bad)"
m4rhogc           "Road Hog Club (Barcrest) (MPU4) (set 1)"
m4rhogc__a        "Road Hog Club (Barcrest) (MPU4) (set 2)"
m4rhogc__b        "Road Hog Club (Barcrest) (MPU4) (set 3)"
m4rhogr1          "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 1.0)"
m4rhogr1c         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 1.0C)"
m4rhogr1d         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 1.0D)"
m4rhogr1k         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 1.0K, set 1)"
m4rhogr1k_a       "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 1.0K, set 2, wrong version number?)"
m4rhogr1y         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 1.0Y)"
m4rhogr1yd        "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 1.0YD)"
m4rhogr2          "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 2.0)"
m4rhogr2c         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 2.0C)"
m4rhogr2d         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 2.0D)"
m4rhogr2k         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 2.0K)"
m4rhogr2y         "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 2.0Y)"
m4rhogr2yd        "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 2.0YD)"
m4rhogr3          "Road Hog (Bwb / Barcrest) (MPU4) (RO_ 3.0)"
m4rhogr6ad        "Road Hog (Barcrest) (MPU4) (RR6 1.2AD)"
m4rhogr6b         "Road Hog (Barcrest) (MPU4) (RR6 1.2B)"
m4rhogr6c         "Road Hog (Barcrest) (MPU4) (RR6 1.2C)"
m4rhogr6d         "Road Hog (Barcrest) (MPU4) (RR6 1.2D)"
m4rhogr6k         "Road Hog (Barcrest) (MPU4) (RR6 1.2K)"
m4rhogr6y         "Road Hog (Barcrest) (MPU4) (RR6 1.2Y)"
m4rhogr6y_a       "Road Hog (Barcrest) (MPU4) (RR6 1.1Y)"
m4rhogr6yd        "Road Hog (Barcrest) (MPU4) (RR6 1.2YD)"
m4rhr             "Red Hot Roll (Barcrest) (MPU4) (set 1)"
m4rhr__0          "Red Hot Roll (Barcrest) (MPU4) (set 28)"
m4rhr__1          "Red Hot Roll (Barcrest) (MPU4) (set 29)"
m4rhr__2          "Red Hot Roll (Barcrest) (MPU4) (set 30)"
m4rhr__3          "Red Hot Roll (Barcrest) (MPU4) (set 31)"
m4rhr__4          "Red Hot Roll (Barcrest) (MPU4) (set 32)"
m4rhr__5          "Red Hot Roll (Barcrest) (MPU4) (set 33)"
m4rhr__6          "Red Hot Roll (Barcrest) (MPU4) (set 34)"
m4rhr__7          "Red Hot Roll (Barcrest) (MPU4) (set 35)"
m4rhr__8          "Red Hot Roll (Barcrest) (MPU4) (set 36)"
m4rhr__9          "Red Hot Roll (Barcrest) (MPU4) (set 37)"
m4rhr__a          "Red Hot Roll (Barcrest) (MPU4) (set 2)"
m4rhr__a0         "Red Hot Roll (Barcrest) (MPU4) (set 64)"
m4rhr__a1         "Red Hot Roll (Barcrest) (MPU4) (set 65)"
m4rhr__a2         "Red Hot Roll (Barcrest) (MPU4) (set 66)"
m4rhr__a3         "Red Hot Roll (Barcrest) (MPU4) (set 67)"
m4rhr__a4         "Red Hot Roll (Barcrest) (MPU4) (RH8 0.1C)"
m4rhr__aa         "Red Hot Roll (Barcrest) (MPU4) (set 38)"
m4rhr__ab         "Red Hot Roll (Barcrest) (MPU4) (set 39)"
m4rhr__ac         "Red Hot Roll (Barcrest) (MPU4) (set 40)"
m4rhr__ad         "Red Hot Roll (Barcrest) (MPU4) (set 41)"
m4rhr__ae         "Red Hot Roll (Barcrest) (MPU4) (set 42)"
m4rhr__af         "Red Hot Roll (Barcrest) (MPU4) (set 43)"
m4rhr__ag         "Red Hot Roll (Barcrest) (MPU4) (set 44)"
m4rhr__ah         "Red Hot Roll (Barcrest) (MPU4) (set 45)"
m4rhr__ai         "Red Hot Roll (Barcrest) (MPU4) (set 46)"
m4rhr__aj         "Red Hot Roll (Barcrest) (MPU4) (set 47)"
m4rhr__ak         "Red Hot Roll (Barcrest) (MPU4) (set 48)"
m4rhr__al         "Red Hot Roll (Barcrest) (MPU4) (set 49)"
m4rhr__am         "Red Hot Roll (Barcrest) (MPU4) (set 50)"
m4rhr__an         "Red Hot Roll (Barcrest) (MPU4) (set 51)"
m4rhr__ao         "Red Hot Roll (Barcrest) (MPU4) (set 52)"
m4rhr__ap         "Red Hot Roll (Barcrest) (MPU4) (set 53)"
m4rhr__aq         "Red Hot Roll (Barcrest) (MPU4) (set 54)"
m4rhr__ar         "Red Hot Roll (Barcrest) (MPU4) (set 55)"
m4rhr__as         "Red Hot Roll (Barcrest) (MPU4) (set 56)"
m4rhr__at         "Red Hot Roll (Barcrest) (MPU4) (set 57)"
m4rhr__au         "Red Hot Roll (Barcrest) (MPU4) (set 58)"
m4rhr__av         "Red Hot Roll (Barcrest) (MPU4) (set 59)"
m4rhr__aw         "Red Hot Roll (Barcrest) (MPU4) (set 60)"
m4rhr__ax         "Red Hot Roll (Barcrest) (MPU4) (set 61)"
m4rhr__ay         "Red Hot Roll (Barcrest) (MPU4) (set 62)"
m4rhr__az         "Red Hot Roll (Barcrest) (MPU4) (set 63)"
m4rhr__b          "Red Hot Roll (Barcrest) (MPU4) (set 3)"
m4rhr__c          "Red Hot Roll (Barcrest) (MPU4) (set 4)"
m4rhr__d          "Red Hot Roll (Barcrest) (MPU4) (set 5)"
m4rhr__e          "Red Hot Roll (Barcrest) (MPU4) (set 6)"
m4rhr__f          "Red Hot Roll (Barcrest) (MPU4) (set 7)"
m4rhr__g          "Red Hot Roll (Barcrest) (MPU4) (set 8)"
m4rhr__h          "Red Hot Roll (Barcrest) (MPU4) (set 9)"
m4rhr__i          "Red Hot Roll (Barcrest) (MPU4) (set 10)"
m4rhr__j          "Red Hot Roll (Barcrest) (MPU4) (set 11)"
m4rhr__k          "Red Hot Roll (Barcrest) (MPU4) (set 12)"
m4rhr__l          "Red Hot Roll (Barcrest) (MPU4) (set 13)"
m4rhr__m          "Red Hot Roll (Barcrest) (MPU4) (set 14)"
m4rhr__n          "Red Hot Roll (Barcrest) (MPU4) (set 15)"
m4rhr__o          "Red Hot Roll (Barcrest) (MPU4) (set 16)"
m4rhr__p          "Red Hot Roll (Barcrest) (MPU4) (set 17)"
m4rhr__q          "Red Hot Roll (Barcrest) (MPU4) (set 18)"
m4rhr__r          "Red Hot Roll (Barcrest) (MPU4) (set 19)"
m4rhr__s          "Red Hot Roll (Barcrest) (MPU4) (set 20)"
m4rhr__t          "Red Hot Roll (Barcrest) (MPU4) (set 21)"
m4rhr__u          "Red Hot Roll (Barcrest) (MPU4) (set 22)"
m4rhr__v          "Red Hot Roll (Barcrest) (MPU4) (set 23)"
m4rhr__w          "Red Hot Roll (Barcrest) (MPU4) (set 24)"
m4rhr__x          "Red Hot Roll (Barcrest) (MPU4) (set 25)"
m4rhr__y          "Red Hot Roll (Barcrest) (MPU4) (set 26)"
m4rhr__z          "Red Hot Roll (Barcrest) (MPU4) (set 27)"
m4rhrc            "Red Hot Roll Classic (Barcrest) (MPU4) (set 1)"
m4rhrc__0         "Red Hot Roll Classic (Barcrest) (MPU4) (set 28)"
m4rhrc__1         "Red Hot Roll Classic (Barcrest) (MPU4) (set 29)"
m4rhrc__2         "Red Hot Roll Classic (Barcrest) (MPU4) (set 30)"
m4rhrc__3         "Red Hot Roll Classic (Barcrest) (MPU4) (set 31)"
m4rhrc__4         "Red Hot Roll Classic (Barcrest) (MPU4) (set 32)"
m4rhrc__5         "Red Hot Roll Classic (Barcrest) (MPU4) (set 33)"
m4rhrc__6         "Red Hot Roll Classic (Barcrest) (MPU4) (set 34)"
m4rhrc__7         "Red Hot Roll Classic (Barcrest) (MPU4) (set 35)"
m4rhrc__8         "Red Hot Roll Classic (Barcrest) (MPU4) (set 36)"
m4rhrc__a         "Red Hot Roll Classic (Barcrest) (MPU4) (set 2)"
m4rhrc__aa        "Red Hot Roll Classic (Barcrest) (MPU4) (set 38)"
m4rhrc__b         "Red Hot Roll Classic (Barcrest) (MPU4) (set 3)"
m4rhrc__c         "Red Hot Roll Classic (Barcrest) (MPU4) (set 4)"
m4rhrc__d         "Red Hot Roll Classic (Barcrest) (MPU4) (set 5)"
m4rhrc__e         "Red Hot Roll Classic (Barcrest) (MPU4) (set 6)"
m4rhrc__f         "Red Hot Roll Classic (Barcrest) (MPU4) (set 7)"
m4rhrc__g         "Red Hot Roll Classic (Barcrest) (MPU4) (set 8)"
m4rhrc__h         "Red Hot Roll Classic (Barcrest) (MPU4) (set 9)"
m4rhrc__i         "Red Hot Roll Classic (Barcrest) (MPU4) (set 10)"
m4rhrc__j         "Red Hot Roll Classic (Barcrest) (MPU4) (set 11)"
m4rhrc__k         "Red Hot Roll Classic (Barcrest) (MPU4) (set 12)"
m4rhrc__l         "Red Hot Roll Classic (Barcrest) (MPU4) (set 13)"
m4rhrc__m         "Red Hot Roll Classic (Barcrest) (MPU4) (set 14)"
m4rhrc__n         "Red Hot Roll Classic (Barcrest) (MPU4) (set 15)"
m4rhrc__o         "Red Hot Roll Classic (Barcrest) (MPU4) (set 16)"
m4rhrc__p         "Red Hot Roll Classic (Barcrest) (MPU4) (set 17)"
m4rhrc__q         "Red Hot Roll Classic (Barcrest) (MPU4) (set 18)"
m4rhrc__r         "Red Hot Roll Classic (Barcrest) (MPU4) (set 19)"
m4rhrc__s         "Red Hot Roll Classic (Barcrest) (MPU4) (set 20)"
m4rhrc__t         "Red Hot Roll Classic (Barcrest) (MPU4) (set 21)"
m4rhrc__u         "Red Hot Roll Classic (Barcrest) (MPU4) (set 22)"
m4rhrc__v         "Red Hot Roll Classic (Barcrest) (MPU4) (set 23)"
m4rhrc__w         "Red Hot Roll Classic (Barcrest) (MPU4) (set 24)"
m4rhrc__x         "Red Hot Roll Classic (Barcrest) (MPU4) (set 25)"
m4rhrc__y         "Red Hot Roll Classic (Barcrest) (MPU4) (set 26)"
m4rhrc__z         "Red Hot Roll Classic (Barcrest) (MPU4) (set 27)"
m4rhrcl           "Red Hot Roll Club (Barcrest) (MPU4) (set 1)"
m4rhrcl__a        "Red Hot Roll Club (Barcrest) (MPU4) (set 2)"
m4rhrcl__b        "Red Hot Roll Club (Barcrest) (MPU4) (set 3)"
m4rhrcl__c        "Red Hot Roll Club (Barcrest) (MPU4) (set 4)"
m4rhrock          "Red Hot Rocks (Qps) (MPU4) (set 1)"
m4rhrock__a       "Red Hot Rocks (Qps) (MPU4) (set 2)"
m4rhs             "Rocky Horror Show (Barcrest) (MPU4) (set 1)"
m4rhs__a          "Rocky Horror Show (Barcrest) (MPU4) (set 2)"
m4rhs__b          "Rocky Horror Show (Barcrest) (MPU4) (set 3)"
m4rhs__c          "Rocky Horror Show (Barcrest) (MPU4) (set 4)"
m4rhs__d          "Rocky Horror Show (Barcrest) (MPU4) (set 5)"
m4rhs__e          "Rocky Horror Show (Barcrest) (MPU4) (set 6)"
m4rhs__f          "Rocky Horror Show (Barcrest) (MPU4) (set 7)"
m4rhs__g          "Rocky Horror Show (Barcrest) (MPU4) (set 8)"
m4rhs__h          "Rocky Horror Show (Barcrest) (MPU4) (set 9)"
m4rhs__i          "Rocky Horror Show (Barcrest) (MPU4) (set 10)"
m4rhs__j          "Rocky Horror Show (Barcrest) (MPU4) (set 11)"
m4rhs__k          "Rocky Horror Show (Barcrest) (MPU4) (set 12)"
m4rhs__l          "Rocky Horror Show (Barcrest) (MPU4) (set 13)"
m4rhwhl           "Red Hot Wheels (Qps) (MPU4) (set 1)"
m4rhwhl__a        "Red Hot Wheels (Qps) (MPU4) (set 2)"
m4rhwhl__b        "Red Hot Wheels (Qps) (MPU4) (set 3)"
m4rhwhl__c        "Red Hot Wheels (Qps) (MPU4) (set 4)"
m4richfm          "Rich & Famous (Barcrest) (MPU4) (set 1)"
m4richfm__0       "Rich & Famous (Barcrest) (MPU4) (set 28)"
m4richfm__1       "Rich & Famous (Barcrest) (MPU4) (set 29)"
m4richfm__2       "Rich & Famous (Barcrest) (MPU4) (set 30)"
m4richfm__3       "Rich & Famous (Barcrest) (MPU4) (set 31)"
m4richfm__a       "Rich & Famous (Barcrest) (MPU4) (set 2)"
m4richfm__b       "Rich & Famous (Barcrest) (MPU4) (set 3)"
m4richfm__c       "Rich & Famous (Barcrest) (MPU4) (set 4)"
m4richfm__d       "Rich & Famous (Barcrest) (MPU4) (set 5)"
m4richfm__e       "Rich & Famous (Barcrest) (MPU4) (set 6)"
m4richfm__f       "Rich & Famous (Barcrest) (MPU4) (set 7)"
m4richfm__g       "Rich & Famous (Barcrest) (MPU4) (set 8)"
m4richfm__h       "Rich & Famous (Barcrest) (MPU4) (set 9)"
m4richfm__i       "Rich & Famous (Barcrest) (MPU4) (set 10)"
m4richfm__j       "Rich & Famous (Barcrest) (MPU4) (set 11)"
m4richfm__k       "Rich & Famous (Barcrest) (MPU4) (set 12)"
m4richfm__l       "Rich & Famous (Barcrest) (MPU4) (set 13)"
m4richfm__m       "Rich & Famous (Barcrest) (MPU4) (set 14)"
m4richfm__n       "Rich & Famous (Barcrest) (MPU4) (set 15)"
m4richfm__o       "Rich & Famous (Barcrest) (MPU4) (set 16)"
m4richfm__p       "Rich & Famous (Barcrest) (MPU4) (set 17)"
m4richfm__q       "Rich & Famous (Barcrest) (MPU4) (set 18)"
m4richfm__r       "Rich & Famous (Barcrest) (MPU4) (set 19)"
m4richfm__s       "Rich & Famous (Barcrest) (MPU4) (set 20)"
m4richfm__t       "Rich & Famous (Barcrest) (MPU4) (set 21)"
m4richfm__u       "Rich & Famous (Barcrest) (MPU4) (set 22)"
m4richfm__v       "Rich & Famous (Barcrest) (MPU4) (set 23)"
m4richfm__w       "Rich & Famous (Barcrest) (MPU4) (set 24)"
m4richfm__x       "Rich & Famous (Barcrest) (MPU4) (set 25)"
m4richfm__y       "Rich & Famous (Barcrest) (MPU4) (set 26)"
m4richfm__z       "Rich & Famous (Barcrest) (MPU4) (set 27)"
m4ringfr          "Ring Of Fire (Barcrest) (MPU4)"
m4riocr           "Rio Grande (Crystal) (MPU4) (set 1)"
m4riocra          "Rio Grande (Crystal) (MPU4) (set 2)"
m4riotrp          "Rio Tropico (unknown) (MPU4)"
m4rlpick          "Reel Picks (Crystal) (MPU4) (set 1)"
m4rlpicka         "Reel Picks (Crystal) (MPU4) (set 2)"
m4rlpickb         "Reel Picks (Crystal) (MPU4) (set 3)"
m4rlpickc         "Reel Picks (Crystal) (MPU4) (set 4)"
m4rltst           "MPU4 Reel Test (3.0)"
m4rmg             "unknown MPU4 'CTP 0.4' (MPU4?)"
m4rmtp            "Reel Magic Turbo Play (Avantime?) (MPU4) (set 1)"
m4rmtp__a         "Reel Magic Turbo Play (Avantime?) (MPU4) (set 2)"
m4rmtp__b         "Reel Magic Turbo Play (Avantime?) (MPU4) (set 3)"
m4rmtp__c         "Reel Magic Turbo Play (Avantime?) (MPU4) (set 4)"
m4rmtp__d         "Reel Magic Turbo Play (Avantime?) (MPU4) (set 5)"
m4rmtp__e         "Reel Magic Turbo Play (Avantime?) (MPU4) (set 6)"
m4rmtp__f         "Reel Magic Turbo Play (Avantime?) (MPU4) (set 7)"
m4rmtp__g         "Reel Magic Turbo Play (Avantime?) (MPU4) (set 8)"
m4rmtpd           "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 1)"
m4rmtpd__0        "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 28)"
m4rmtpd__1        "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 29)"
m4rmtpd__2        "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 30)"
m4rmtpd__3        "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 31)"
m4rmtpd__4        "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 32)"
m4rmtpd__5        "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 33)"
m4rmtpd__6        "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 34)"
m4rmtpd__7        "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 35)"
m4rmtpd__8        "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 36)"
m4rmtpd__9        "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 37)"
m4rmtpd__a        "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 2)"
m4rmtpd__aa       "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 38)"
m4rmtpd__ab       "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 39)"
m4rmtpd__ac       "Reel Magic Turbo Play Deluxe (Avantime?) (MPU4) (set 40)"
